time,joint,pos_x,pos_y,poz_z,frame
0.039,ShoulderLeft,-0.350,0.970,2.368,0
0.039,ElbowLeft,-0.428,0.754,2.431,0
0.039,WristLeft,-0.409,0.596,2.280,0
0.039,ShoulderRight,0.014,0.974,2.293,0
0.039,ElbowRight,0.165,0.796,2.319,0
0.039,WristRight,0.093,0.613,2.233,0
0.305,ShoulderLeft,-0.348,0.970,2.366,1
0.305,ElbowLeft,-0.427,0.754,2.430,1
0.305,WristLeft,-0.409,0.597,2.279,1
0.305,ShoulderRight,0.016,0.974,2.293,1
0.305,ElbowRight,0.165,0.796,2.319,1
0.305,WristRight,0.093,0.613,2.233,1
0.448,ShoulderLeft,-0.347,0.970,2.365,2
0.448,ElbowLeft,-0.425,0.754,2.429,2
0.448,WristLeft,-0.408,0.597,2.279,2
0.448,ShoulderRight,0.018,0.974,2.292,2
0.448,ElbowRight,0.167,0.795,2.319,2
0.448,WristRight,0.094,0.613,2.232,2
0.607,ShoulderLeft,-0.345,0.970,2.364,3
0.607,ElbowLeft,-0.424,0.755,2.428,3
0.607,WristLeft,-0.407,0.597,2.278,3
0.607,ShoulderRight,0.020,0.973,2.292,3
0.607,ElbowRight,0.169,0.795,2.318,3
0.607,WristRight,0.095,0.612,2.232,3
0.684,ShoulderLeft,-0.344,0.970,2.363,4
0.684,ElbowLeft,-0.422,0.754,2.428,4
0.684,WristLeft,-0.407,0.597,2.278,4
0.684,ShoulderRight,0.021,0.973,2.292,4
0.684,ElbowRight,0.170,0.795,2.318,4
0.684,WristRight,0.096,0.612,2.232,4
0.797,ShoulderLeft,-0.343,0.970,2.363,5
0.797,ElbowLeft,-0.420,0.754,2.428,5
0.797,WristLeft,-0.407,0.597,2.277,5
0.797,ShoulderRight,0.022,0.973,2.291,5
0.797,ElbowRight,0.171,0.795,2.318,5
0.797,WristRight,0.097,0.612,2.233,5
0.870,ShoulderLeft,-0.342,0.970,2.363,6
0.870,ElbowLeft,-0.417,0.753,2.428,6
0.870,WristLeft,-0.406,0.597,2.277,6
0.870,ShoulderRight,0.023,0.973,2.291,6
0.870,ElbowRight,0.172,0.794,2.319,6
0.870,WristRight,0.098,0.612,2.233,6
0.942,ShoulderLeft,-0.341,0.970,2.362,7
0.942,ElbowLeft,-0.415,0.752,2.429,7
0.942,WristLeft,-0.406,0.597,2.277,7
0.942,ShoulderRight,0.024,0.973,2.291,7
0.942,ElbowRight,0.173,0.794,2.319,7
0.942,WristRight,0.099,0.611,2.234,7
1.080,ShoulderLeft,-0.340,0.970,2.362,8
1.080,ElbowLeft,-0.413,0.752,2.430,8
1.080,WristLeft,-0.405,0.597,2.278,8
1.080,ShoulderRight,0.025,0.973,2.292,8
1.080,ElbowRight,0.174,0.794,2.320,8
1.080,WristRight,0.100,0.611,2.235,8
1.154,ShoulderLeft,-0.339,0.970,2.363,9
1.154,ElbowLeft,-0.412,0.751,2.431,9
1.154,WristLeft,-0.403,0.597,2.279,9
1.154,ShoulderRight,0.025,0.972,2.293,9
1.154,ElbowRight,0.175,0.794,2.321,9
1.154,WristRight,0.102,0.612,2.235,9
1.232,ShoulderLeft,-0.336,0.971,2.363,10
1.232,ElbowLeft,-0.412,0.752,2.431,10
