time,joint,pos_x,pos_y,poz_z,frame
31.985,SpineBase,-0.087,0.372,1.552,507
31.985,SpineMid,-0.088,0.666,1.652,507
31.985,Neck,-0.089,0.952,1.735,507
31.985,Head,-0.129,1.097,1.740,507
31.985,ShoulderLeft,-0.279,0.826,1.675,507
31.985,ElbowLeft,-0.306,0.593,1.607,507
31.985,WristLeft,-0.292,0.409,1.481,507
31.985,HandLeft,-0.272,0.361,1.455,507
31.985,ShoulderRight,0.092,0.830,1.681,507
31.985,ElbowRight,0.149,0.601,1.618,507
31.985,WristRight,0.125,0.398,1.483,507
31.985,HandRight,0.107,0.350,1.454,507
31.985,HipLeft,-0.166,0.381,1.524,507
31.985,KneeLeft,-0.190,0.079,1.439,507
31.985,AnkleLeft,-0.226,-0.386,1.352,507
31.985,FootLeft,-0.225,-0.361,1.218,507
31.985,HipRight,-0.004,0.388,1.517,507
31.985,KneeRight,0.046,0.088,1.439,507
31.985,AnkleRight,0.120,-0.375,1.367,507
31.985,FootRight,0.126,-0.353,1.233,507
32.272,SpineBase,-0.087,0.372,1.552,508
32.272,SpineMid,-0.088,0.666,1.652,508
32.272,Neck,-0.089,0.952,1.735,508
32.272,Head,-0.130,1.097,1.740,508
32.272,ShoulderLeft,-0.279,0.826,1.675,508
32.272,ElbowLeft,-0.306,0.593,1.607,508
32.272,WristLeft,-0.292,0.409,1.481,508
32.272,HandLeft,-0.272,0.361,1.455,508
32.272,ShoulderRight,0.091,0.830,1.681,508
32.272,ElbowRight,0.149,0.601,1.618,508
32.272,WristRight,0.125,0.398,1.483,508
32.272,HandRight,0.107,0.350,1.454,508
32.272,HipLeft,-0.166,0.381,1.524,508
32.272,KneeLeft,-0.189,0.079,1.439,508
32.272,AnkleLeft,-0.225,-0.386,1.353,508
32.272,FootLeft,-0.223,-0.361,1.219,508
32.272,HipRight,-0.004,0.388,1.517,508
32.272,KneeRight,0.046,0.088,1.439,508
32.272,AnkleRight,0.120,-0.375,1.367,508
32.272,FootRight,0.126,-0.353,1.233,508
32.416,SpineBase,-0.087,0.372,1.552,509
32.416,SpineMid,-0.089,0.666,1.652,509
32.416,Neck,-0.089,0.952,1.735,509
32.416,Head,-0.130,1.097,1.740,509
32.416,ShoulderLeft,-0.280,0.826,1.675,509
32.416,ElbowLeft,-0.306,0.593,1.607,509
32.416,WristLeft,-0.292,0.409,1.481,509
32.416,HandLeft,-0.272,0.361,1.455,509
32.416,ShoulderRight,0.091,0.830,1.681,509
