time,joint,pos_x,pos_y,poz_z,frame
0.353,SpineBase,-0.120,0.775,1.675,0
0.353,SpineMid,-0.119,1.126,1.745,0
0.353,Neck,-0.118,1.459,1.799,0
0.353,Head,-0.128,1.620,1.825,0
0.353,ShoulderLeft,-0.311,1.315,1.758,0
0.353,ElbowLeft,-0.352,1.063,1.706,0
0.353,WristLeft,-0.357,0.843,1.586,0
0.353,HandLeft,-0.343,0.781,1.560,0
0.353,ShoulderRight,0.065,1.312,1.801,0
0.353,ElbowRight,0.107,1.061,1.748,0
0.353,WristRight,0.112,0.837,1.611,0
0.353,HandRight,0.111,0.769,1.569,0
0.353,HipLeft,-0.204,0.781,1.621,0
0.353,KneeLeft,-0.200,0.377,1.585,0
0.353,AnkleLeft,-0.223,-0.099,1.622,0
0.353,FootLeft,-0.208,-0.111,1.474,0
0.353,HipRight,-0.029,0.780,1.645,0
0.353,KneeRight,-0.060,0.384,1.595,0
0.353,AnkleRight,-0.089,-0.101,1.606,0
0.353,FootRight,-0.076,-0.105,1.454,0
0.518,SpineBase,-0.119,0.775,1.676,1
0.518,SpineMid,-0.118,1.126,1.745,1
0.518,Neck,-0.117,1.458,1.799,1
0.518,Head,-0.127,1.620,1.824,1
0.518,ShoulderLeft,-0.309,1.314,1.758,1
0.518,ElbowLeft,-0.351,1.061,1.709,1
0.518,WristLeft,-0.355,0.839,1.591,1
0.518,HandLeft,-0.340,0.776,1.569,1
0.518,ShoulderRight,0.066,1.312,1.801,1
0.518,ElbowRight,0.108,1.062,1.749,1
0.518,WristRight,0.114,0.827,1.612,1
0.518,HandRight,0.109,0.762,1.577,1
0.518,HipLeft,-0.203,0.781,1.622,1
0.518,KneeLeft,-0.200,0.376,1.587,1
0.518,AnkleLeft,-0.224,-0.102,1.622,1
0.518,FootLeft,-0.209,-0.114,1.473,1
0.518,HipRight,-0.029,0.780,1.646,1
0.518,KneeRight,-0.060,0.378,1.598,1
0.518,AnkleRight,-0.094,-0.103,1.607,1
0.518,FootRight,-0.082,-0.107,1.455,1
0.707,SpineBase,-0.118,0.775,1.678,2
0.707,SpineMid,-0.117,1.125,1.747,2
0.707,Neck,-0.115,1.458,1.799,2
0.707,Head,-0.125,1.619,1.825,2
0.707,ShoulderLeft,-0.308,1.314,1.759,2
0.707,ElbowLeft,-0.350,1.059,1.712,2
0.707,WristLeft,-0.355,0.835,1.598,2
0.707,HandLeft,-0.341,0.773,1.577,2
0.707,ShoulderRight,0.067,1.312,1.802,2
0.707,ElbowRight,0.109,1.060,1.752,2
0.707,WristRight,0.114,0.821,1.617,2
0.707,HandRight,0.110,0.757,1.586,2
0.707,HipLeft,-0.202,0.781,1.624,2
0.707,KneeLeft,-0.199,0.375,1.589,2
0.707,AnkleLeft,-0.224,-0.104,1.621,2
0.707,FootLeft,-0.209,-0.114,1.472,2
0.707,HipRight,-0.028,0.779,1.648,2
0.707,KneeRight,-0.060,0.377,1.600,2
0.707,AnkleRight,-0.100,-0.105,1.610,2
0.707,FootRight,-0.089,-0.109,1.458,2
0.878,SpineBase,-0.117,0.774,1.679,3
0.878,SpineMid,-0.116,1.125,1.747,3
0.878,Neck,-0.115,1.457,1.799,3
0.878,Head,-0.125,1.619,1.825,3
0.878,ShoulderLeft,-0.308,1.314,1.760,3
0.878,ElbowLeft,-0.350,1.059,1.713,3
0.878,WristLeft,-0.355,0.834,1.600,3
0.878,HandLeft,-0.342,0.773,1.578,3
0.878,ShoulderRight,0.067,1.312,1.803,3
0.878,ElbowRight,0.110,1.060,1.753,3
0.878,WristRight,0.115,0.820,1.619,3
