time,joint,pos_x,pos_y,poz_z,frame
0.353,SpineBase,0.083,0.100,3.000,0
0.353,SpineMid,0.084,0.394,3.093,0
0.353,Neck,0.084,0.683,3.171,0
0.353,Head,0.081,0.823,3.182,0
0.353,ShoulderLeft,-0.097,0.566,3.142,0
0.353,ElbowLeft,-0.137,0.323,3.090,0
0.353,WristLeft,-0.144,0.137,2.980,0
0.353,HandLeft,-0.126,0.097,2.948,0
0.353,ShoulderRight,0.272,0.564,3.130,0
0.353,ElbowRight,0.307,0.326,3.063,0
0.353,WristRight,0.286,0.141,2.953,0
0.353,HandRight,0.276,0.115,2.936,0
0.353,HipLeft,-0.002,0.111,2.971,0
0.353,KneeLeft,-0.033,-0.176,2.877,0
0.353,AnkleLeft,-0.034,-0.616,2.977,0
0.353,FootLeft,-0.036,-0.632,2.904,0
0.353,HipRight,0.165,0.110,2.958,0
0.353,KneeRight,0.190,-0.191,2.887,0
0.353,AnkleRight,0.173,-0.623,3.005,0
0.353,FootRight,0.165,-0.651,2.900,0
0.540,SpineBase,0.080,0.099,3.000,1
0.540,SpineMid,0.081,0.393,3.093,1
0.540,Neck,0.080,0.683,3.171,1
0.540,Head,0.077,0.824,3.183,1
0.540,ShoulderLeft,-0.100,0.565,3.141,1
0.540,ElbowLeft,-0.137,0.324,3.089,1
0.540,WristLeft,-0.139,0.114,2.971,1
0.540,HandLeft,-0.126,0.080,2.941,1
0.540,ShoulderRight,0.269,0.565,3.131,1
0.540,ElbowRight,0.303,0.332,3.063,1
0.540,WristRight,0.284,0.144,2.956,1
0.540,HandRight,0.278,0.122,2.946,1
0.540,HipLeft,-0.004,0.110,2.970,1
0.540,KneeLeft,-0.037,-0.182,2.882,1
0.540,AnkleLeft,-0.034,-0.623,2.980,1
0.540,FootLeft,-0.040,-0.640,2.906,1
0.540,HipRight,0.163,0.110,2.958,1
0.540,KneeRight,0.188,-0.195,2.890,1
0.540,AnkleRight,0.173,-0.628,3.007,1
0.540,FootRight,0.158,-0.646,2.939,1
0.681,SpineBase,0.079,0.098,3.000,2
0.681,SpineMid,0.079,0.393,3.092,2
0.681,Neck,0.078,0.683,3.170,2
0.681,Head,0.073,0.822,3.184,2
0.681,ShoulderLeft,-0.102,0.565,3.141,2
0.681,ElbowLeft,-0.138,0.325,3.088,2
0.681,WristLeft,-0.142,0.116,2.975,2
0.681,HandLeft,-0.137,0.099,2.953,2
0.681,ShoulderRight,0.266,0.565,3.131,2
0.681,ElbowRight,0.301,0.331,3.062,2
0.681,WristRight,0.284,0.143,2.956,2
0.681,HandRight,0.277,0.120,2.947,2
0.681,HipLeft,-0.006,0.109,2.969,2
0.681,KneeLeft,-0.039,-0.182,2.882,2
0.681,AnkleLeft,-0.034,-0.624,2.980,2
0.681,FootLeft,-0.042,-0.641,2.906,2
0.681,HipRight,0.162,0.109,2.959,2
0.681,KneeRight,0.187,-0.196,2.890,2
0.681,AnkleRight,0.173,-0.624,3.006,2
0.681,FootRight,0.164,-0.649,2.915,2
0.813,SpineBase,0.078,0.098,3.000,3
0.813,SpineMid,0.078,0.393,3.092,3
0.813,Neck,0.077,0.683,3.170,3
0.813,Head,0.072,0.822,3.184,3
0.813,ShoulderLeft,-0.102,0.564,3.141,3
0.813,ElbowLeft,-0.138,0.325,3.088,3
0.813,WristLeft,-0.144,0.121,2.977,3
0.813,HandLeft,-0.139,0.102,2.956,3
0.813,ShoulderRight,0.266,0.565,3.131,3
0.813,ElbowRight,0.300,0.331,3.062,3
0.813,WristRight,0.284,0.143,2.956,3
0.813,HandRight,0.277,0.119,2.947,3
0.813,HipLeft,-0.007,0.108,2.969,3
0.813,KneeLeft,-0.039,-0.181,2.882,3
0.813,AnkleLeft,-0.034,-0.625,2.980,3
0.813,FootLeft,-0.042,-0.641,2.906,3
0.813,HipRight,0.161,0.109,2.959,3
0.813,KneeRight,0.187,-0.196,2.890,3
0.813,AnkleRight,0.174,-0.624,3.006,3
0.813,FootRight,0.164,-0.649,2.915,3
0.965,SpineBase,0.078,0.098,3.000,4
0.965,SpineMid,0.077,0.393,3.093,4
0.965,Neck,0.075,0.683,3.171,4
0.965,Head,0.071,0.822,3.185,4
0.965,ShoulderLeft,-0.103,0.564,3.141,4
0.965,ElbowLeft,-0.138,0.325,3.088,4
0.965,WristLeft,-0.145,0.122,2.978,4
0.965,HandLeft,-0.138,0.099,2.954,4
0.965,ShoulderRight,0.264,0.565,3.132,4
0.965,ElbowRight,0.300,0.331,3.063,4
0.965,WristRight,0.284,0.143,2.957,4
0.965,HandRight,0.276,0.119,2.947,4
0.965,HipLeft,-0.007,0.108,2.969,4
0.965,KneeLeft,-0.039,-0.181,2.882,4
0.965,AnkleLeft,-0.034,-0.625,2.980,4
0.965,FootLeft,-0.042,-0.641,2.906,4
0.965,HipRight,0.161,0.109,2.959,4
0.965,KneeRight,0.187,-0.197,2.890,4
0.965,AnkleRight,0.173,-0.624,3.006,4
0.965,FootRight,0.164,-0.650,2.910,4
1.092,SpineBase,0.077,0.098,3.000,5
1.092,SpineMid,0.076,0.392,3.093,5
1.092,Neck,0.072,0.683,3.172,5
1.092,Head,0.070,0.821,3.185,5
1.092,ShoulderLeft,-0.105,0.564,3.141,5
1.092,ElbowLeft,-0.139,0.325,3.088,5
1.092,WristLeft,-0.147,0.126,2.979,5
1.092,HandLeft,-0.139,0.100,2.955,5
1.092,ShoulderRight,0.262,0.565,3.133,5
1.092,ElbowRight,0.299,0.331,3.064,5
1.092,WristRight,0.284,0.142,2.957,5
1.092,HandRight,0.276,0.118,2.947,5
1.092,HipLeft,-0.008,0.108,2.969,5
1.092,KneeLeft,-0.040,-0.182,2.883,5
1.092,AnkleLeft,-0.034,-0.625,2.981,5
1.092,FootLeft,-0.042,-0.641,2.906,5
1.092,HipRight,0.160,0.109,2.960,5
1.092,KneeRight,0.187,-0.197,2.891,5
1.092,AnkleRight,0.173,-0.626,3.007,5
1.092,FootRight,0.164,-0.651,2.913,5
1.206,SpineBase,0.077,0.097,3.001,6
1.206,SpineMid,0.074,0.392,3.094,6
1.206,Neck,0.070,0.683,3.173,6
1.206,Head,0.069,0.821,3.186,6
1.206,ShoulderLeft,-0.106,0.564,3.141,6
1.206,ElbowLeft,-0.140,0.325,3.088,6
1.206,WristLeft,-0.149,0.129,2.980,6
1.206,HandLeft,-0.139,0.100,2.955,6
1.206,ShoulderRight,0.261,0.565,3.135,6
